prepconfig,EN_ONLY,COM_STR,SPLIT,SPLIT_REPR,TABS_NEWLINES,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
00600,multilang,strings+comments,camel+underscore+bpe_10k,separators,tabs+newlines,15712,2472368392,14573,1139,0.000,13680,2925,0.000,13388,3801,0.000,13138,4801,0.000,12552,8694,0.000,12253,12227,0.000,12065,15371,0.001,11933,18270,0.001,11832,20979,0.001,11752,23533,0.001,11684,26050,0.001,11601,29518,0.001,11528,32950,0.001,11477,35606,0.001,11414,39186,0.002,11388,40799,0.002,11350,43335,0.002,11312,46072,0.002,11272,49156,0.002,11231,52536,0.002,11204,54884,0.002,11173,57731,0.002,11145,60447,0.002,10938,85679,0.003,10790,111311,0.005,10585,161528,0.007,10436,213237,0.009,10326,262808,0.011,9950,529846,0.021
00601,multilang,strings+comments,camel+underscore+bpe_10k,separators,NO_tabs+NO_newlines,15710,2004349518,14571,1139,0.000,13678,2925,0.000,13386,3801,0.000,13136,4801,0.000,12550,8694,0.000,12251,12227,0.001,12063,15371,0.001,11931,18270,0.001,11830,20979,0.001,11750,23533,0.001,11682,26050,0.001,11599,29518,0.001,11526,32950,0.002,11475,35606,0.002,11412,39186,0.002,11386,40799,0.002,11348,43335,0.002,11310,46072,0.002,11270,49156,0.002,11229,52536,0.003,11202,54884,0.003,11171,57731,0.003,11143,60447,0.003,10936,85679,0.004,10788,111311,0.006,10583,161528,0.008,10434,213237,0.011,10324,262808,0.013,9948,529846,0.026
00610,multilang,strings+comments,camel+underscore+bpe_10k,boundaries,tabs+newlines,15712,2730809763,14573,1139,0.000,13680,2925,0.000,13388,3801,0.000,13139,4797,0.000,12553,8690,0.000,12254,12223,0.000,12066,15367,0.001,11934,18266,0.001,11833,20975,0.001,11753,23529,0.001,11684,26082,0.001,11601,29550,0.001,11528,32982,0.001,11477,35638,0.001,11414,39218,0.001,11388,40831,0.001,11350,43367,0.002,11312,46104,0.002,11272,49188,0.002,11231,52568,0.002,11204,54916,0.002,11173,57763,0.002,11145,60479,0.002,10938,85711,0.003,10790,111343,0.004,10585,161560,0.006,10436,213269,0.008,10326,262840,0.010,9950,529878,0.019
00611,multilang,strings+comments,camel+underscore+bpe_10k,boundaries,NO_tabs+NO_newlines,15711,2262696673,14571,1140,0.000,13678,2926,0.000,13386,3802,0.000,13137,4798,0.000,12551,8691,0.000,12252,12224,0.001,12064,15368,0.001,11932,18267,0.001,11831,20976,0.001,11751,23530,0.001,11682,26083,0.001,11599,29551,0.001,11526,32983,0.001,11475,35639,0.002,11412,39219,0.002,11386,40832,0.002,11348,43368,0.002,11310,46105,0.002,11270,49189,0.002,11229,52569,0.002,11202,54917,0.002,11171,57764,0.003,11143,60480,0.003,10936,85711,0.004,10788,111343,0.005,10583,161560,0.007,10434,213269,0.009,10324,262840,0.012,9948,529877,0.023
01000,multilang,strings+NO_comments,NO_splitting,separators,tabs+newlines,6472533,1795112628,5040295,1432238,0.080,3868636,3775556,0.210,3163997,5889473,0.328,2603093,8133089,0.453,1411351,15922946,0.887,963024,21156537,1.179,736889,24936534,1.390,593069,28076412,1.565,502931,30497875,1.700,435001,32659857,1.820,385231,34494368,1.923,343959,36222699,2.019,311336,37753441,2.104,284146,39165386,2.183,261524,40451987,2.255,242276,41643160,2.321,226222,42717921,2.381,212003,43740660,2.438,199894,44672262,2.490,188642,45594547,2.541,179219,46413894,2.587,170471,47217920,2.632,162547,47986157,2.674,111751,54138351,3.017,85865,58592122,3.266,59932,64891967,3.617,46510,69522443,3.875,38268,73199261,4.080,21430,84918625,4.733
01001,multilang,strings+NO_comments,NO_splitting,separators,NO_tabs+NO_newlines,6472531,1327850801,5040293,1432238,0.108,3868634,3775556,0.285,3163995,5889473,0.444,2603091,8133089,0.613,1411349,15922946,1.200,963022,21156537,1.594,736887,24936534,1.879,593067,28076412,2.116,502929,30497875,2.298,434999,32659857,2.461,385229,34494368,2.600,343957,36222699,2.730,311334,37753441,2.845,284144,39165386,2.952,261522,40451987,3.048,242274,41643160,3.138,226220,42717921,3.219,212001,43740660,3.296,199892,44672262,3.367,188640,45594547,3.436,179217,46413894,3.498,170469,47217920,3.558,162545,47986157,3.616,111749,54138351,4.080,85863,58592122,4.416,59930,64891967,4.890,46508,69522443,5.239,38266,73199261,5.516,21428,84918625,6.399
01010,multilang,strings+NO_comments,NO_splitting,boundaries,tabs+newlines,6472533,1795112628,5040295,1432238,0.080,3868636,3775556,0.210,3163997,5889473,0.328,2603093,8133089,0.453,1411351,15922946,0.887,963024,21156537,1.179,736889,24936534,1.390,593069,28076412,1.565,502931,30497875,1.700,435001,32659857,1.820,385231,34494368,1.923,343959,36222699,2.019,311336,37753441,2.104,284146,39165386,2.183,261524,40451987,2.255,242276,41643160,2.321,226222,42717921,2.381,212003,43740660,2.438,199894,44672262,2.490,188642,45594547,2.541,179219,46413894,2.587,170471,47217920,2.632,162547,47986157,2.674,111751,54138351,3.017,85865,58592122,3.266,59932,64891967,3.617,46510,69522443,3.875,38268,73199261,4.080,21430,84918625,4.733
01011,multilang,strings+NO_comments,NO_splitting,boundaries,NO_tabs+NO_newlines,6472531,1327850801,5040293,1432238,0.108,3868634,3775556,0.285,3163995,5889473,0.444,2603091,8133089,0.613,1411349,15922946,1.200,963022,21156537,1.594,736887,24936534,1.879,593067,28076412,2.116,502929,30497875,2.298,434999,32659857,2.461,385229,34494368,2.600,343957,36222699,2.730,311334,37753441,2.845,284144,39165386,2.952,261522,40451987,3.048,242274,41643160,3.138,226220,42717921,3.219,212001,43740660,3.296,199892,44672262,3.367,188640,45594547,3.436,179217,46413894,3.498,170469,47217920,3.558,162545,47986157,3.616,111749,54138351,4.080,85863,58592122,4.416,59930,64891967,4.890,46508,69522443,5.239,38266,73199261,5.516,21428,84918625,6.399
01100,multilang,strings+NO_comments,camel+underscore,separators,tabs+newlines,989312,2241760627,597319,391993,0.018,435312,716007,0.032,365165,926448,0.041,315502,1125100,0.050,186935,1950515,0.087,141591,2481897,0.111,117087,2891267,0.129,102251,3215511,0.144,92133,3487428,0.156,84400,3733845,0.167,78528,3950390,0.176,73538,4159682,0.186,68928,4376166,0.195,64792,4590856,0.205,61531,4776489,0.213,58741,4949242,0.221,56407,5105555,0.228,54111,5270759,0.235,52139,5422549,0.242,50327,5571008,0.249,48751,5708101,0.255,47279,5843478,0.261,45915,5975738,0.267,36954,7065937,0.316,31837,7949583,0.355,26053,9367757,0.418,22350,10649921,0.476,19862,11762274,0.525,13951,15920436,0.711
01101,multilang,strings+NO_comments,camel+underscore,separators,NO_tabs+NO_newlines,989310,1774498800,597317,391993,0.022,435310,716007,0.040,365163,926448,0.052,315500,1125100,0.064,186933,1950515,0.110,141589,2481897,0.140,117085,2891267,0.163,102249,3215511,0.182,92131,3487428,0.197,84398,3733845,0.211,78526,3950390,0.223,73536,4159682,0.235,68926,4376166,0.247,64790,4590856,0.259,61529,4776489,0.270,58739,4949242,0.279,56405,5105555,0.288,54109,5270759,0.298,52137,5422549,0.306,50325,5571008,0.314,48749,5708101,0.322,47277,5843478,0.330,45913,5975738,0.337,36952,7065937,0.399,31835,7949583,0.449,26051,9367757,0.529,22348,10649921,0.601,19860,11762274,0.664,13949,15920436,0.899
