-|------------  vocabsize  n_tokens    >=2      >=2              >=3      >=3              >=4      >=4              >=5      >=5              >=100   >=100
10110           1130397    2634500305  693548   436849(0.017%)   496911   830123(0.032%)   417927   1067075(0.041%)  356482   1312855(0.050%)  52029   6821544(0.259%)
10111           1130401    2166544021  693559   436842(0.020%)   496921   830118(0.038%)   417937   1067070(0.049%)  356492   1312850(0.061%)  52037   6821652(0.315%)
10200           678920     2441909051  454981   223939(0.009%)   349260   435381(0.018%)   296167   594660(0.024%)   254664   760672(0.031%)   45865   5207071(0.213%)
10201           678918     1973920377  454979   223939(0.011%)   349258   435381(0.022%)   296165   594660(0.030%)   254662   760672(0.039%)   45863   5207071(0.264%)
10210           678920     2700144438  454981   223939(0.008%)   349260   435381(0.016%)   296167   594660(0.022%)   254665   760668(0.028%)   45865   5207103(0.193%)
10211           678918     2232155764  454979   223939(0.010%)   349258   435381(0.020%)   296165   594660(0.027%)   254663   760668(0.034%)   45863   5207103(0.233%)
10400           5141       2538128027  5136     5(0.000%)        5131     15(0.000%)       5127     27(0.000%)       5125     35(0.000%)       5092    1482(0.000%)
10401           5139       2070139353  5134     5(0.000%)        5129     15(0.000%)       5125     27(0.000%)       5123     35(0.000%)       5090    1482(0.000%)
10410           5141       2793864154  5136     5(0.000%)        5131     15(0.000%)       5127     27(0.000%)       5126     31(0.000%)       5092    1514(0.000%)
10411           5139       2325875480  5134     5(0.000%)        5129     15(0.000%)       5125     27(0.000%)       5124     31(0.000%)       5090    1514(0.000%)
10500           1143       3201285975  1138     5(0.000%)        1133     15(0.000%)       1129     27(0.000%)       1128     31(0.000%)       1121    146(0.000%)
10501           1141       2733297301  1136     5(0.000%)        1131     15(0.000%)       1127     27(0.000%)       1126     31(0.000%)       1119    146(0.000%)
10510           1143       3326816090  1138     5(0.000%)        1133     15(0.000%)       1129     27(0.000%)       1129     27(0.000%)       1121    178(0.000%)
10511           1139       2858827416  1133     6(0.000%)        1128     16(0.000%)       1126     22(0.000%)       1126     22(0.000%)       1119    158(0.000%)
10600           10137      2451361975  10127    10(0.000%)       10118    28(0.000%)       10110    52(0.000%)       10105    72(0.000%)       9980    5702(0.000%)
10601           10132      1983373301  10123    9(0.000%)        10114    27(0.000%)       10106    51(0.000%)       10101    71(0.000%)       9977    5653(0.000%)
10610           10134      2716434590  10125    9(0.000%)        10116    27(0.000%)       10108    51(0.000%)       10104    67(0.000%)       9979    5685(0.000%)
10611           10132      2248445916  10123    9(0.000%)        10114    27(0.000%)       10106    51(0.000%)       10102    67(0.000%)       9977    5685(0.000%)
11100           894962     2238591723  561382   333580(0.015%)   414333   627678(0.028%)   349201   823074(0.037%)   302581   1009554(0.045%)  44447   5655252(0.253%)
11101           894960     1771359951  561380   333580(0.019%)   414331   627678(0.035%)   349199   823074(0.046%)   302579   1009554(0.057%)  44445   5655252(0.319%)
11110           894963     2487967967  561383   333580(0.013%)   414334   627678(0.025%)   349202   823074(0.033%)   302582   1009554(0.041%)  44448   5655252(0.227%)
11111           894961     2020736195  561381   333580(0.017%)   414332   627678(0.031%)   349200   823074(0.041%)   302580   1009554(0.050%)  44446   5655252(0.280%)
11200           492835     2304719743  342556   150279(0.007%)   275205   284981(0.012%)   233387   410435(0.018%)   204217   527115(0.023%)   40554   3869133(0.168%)
11210           492836     2544416965  342557   150279(0.006%)   275206   284981(0.011%)   233388   410435(0.016%)   204218   527115(0.021%)   40554   3869157(0.152%)
11211           492834     2077185193  342555   150279(0.007%)   275204   284981(0.014%)   233386   410435(0.020%)   204216   527115(0.025%)   40552   3869157(0.186%)
11400           5131       2388252241  5125     6(0.000%)        5124     8(0.000%)        5122     14(0.000%)       5120     22(0.000%)       5083    1607(0.000%)
11401           5129       1921020469  5123     6(0.000%)        5122     8(0.000%)        5120     14(0.000%)       5118     22(0.000%)       5081    1607(0.000%)
11410           5132       2627059779  5126     6(0.000%)        5125     8(0.000%)        5123     14(0.000%)       5121     22(0.000%)       5083    1631(0.000%)
11411           5130       2159809358  5124     6(0.000%)        5123     8(0.000%)        5121     14(0.000%)       5119     22(0.000%)       5081    1631(0.000%)
11500           1133       3002532041  1127     6(0.000%)        1126     8(0.000%)        1124     14(0.000%)       1124     14(0.000%)       1119    74(0.000%)
11501           1131       2535300269  1125     6(0.000%)        1124     8(0.000%)        1122     14(0.000%)       1122     14(0.000%)       1117    74(0.000%)
11510           1134       3119702306  1128     6(0.000%)        1127     8(0.000%)        1125     14(0.000%)       1125     14(0.000%)       1119    98(0.000%)
11511           1132       2652470534  1126     6(0.000%)        1125     8(0.000%)        1123     14(0.000%)       1123     14(0.000%)       1117    98(0.000%)
11600           10113      2310273085  10099    14(0.000%)       10095    22(0.000%)       10091    34(0.000%)       10083    66(0.000%)       9938    6697(0.000%)
11601           10111      1843041313  10097    14(0.000%)       10093    22(0.000%)       10089    34(0.000%)       10081    66(0.000%)       9936    6697(0.000%)
11610           10114      2557587878  10100    14(0.000%)       10096    22(0.000%)       10092    34(0.000%)       10084    66(0.000%)       9938    6721(0.000%)
11611           10112      2090356106  10098    14(0.000%)       10094    22(0.000%)       10090    34(0.000%)       10082    66(0.000%)       9936    6721(0.000%)
12100           692038     1660277077  445898   246140(0.015%)   334932   468072(0.028%)   282885   624213(0.038%)   246040   771593(0.046%)   34827   4334159(0.261%)
12101           692036     1258973318  445896   246140(0.020%)   334930   468072(0.037%)   282883   624213(0.050%)   246038   771593(0.061%)   34825   4334159(0.344%)
12110           692039     1886314137  445899   246140(0.013%)   334933   468072(0.025%)   282886   624213(0.033%)   246041   771593(0.041%)   34828   4334159(0.230%)
12111           692037     1485010378  445897   246140(0.017%)   334931   468072(0.032%)   282884   624213(0.042%)   246039   771593(0.052%)   34826   4334159(0.292%)
12200           337035     1703069675  256558   80477(0.005%)    217283   159027(0.009%)   182868   262272(0.015%)   161791   346580(0.020%)   32109   3031888(0.178%)
12201           336992     1301775862  256533   80459(0.006%)    217266   158993(0.012%)   182853   262232(0.020%)   161776   346540(0.027%)   32087   3032023(0.233%)
12210           336994     1921388975  256535   80459(0.004%)    217268   158993(0.008%)   182855   262232(0.014%)   161778   346540(0.018%)   32089   3032023(0.158%)
12211           336992     1520085216  256533   80459(0.005%)    217266   158993(0.010%)   182853   262232(0.017%)   161776   346540(0.023%)   32087   3032023(0.199%)
12400           5112       1760551065  5106     6(0.000%)        5100     18(0.000%)       5097     27(0.000%)       5094     39(0.000%)       5025    2777(0.000%)
12401           5110       1359247306  5104     6(0.000%)        5098     18(0.000%)       5095     27(0.000%)       5092     39(0.000%)       5023    2777(0.000%)
12410           5112       1970509313  5106     6(0.000%)        5100     18(0.000%)       5097     27(0.000%)       5094     39(0.000%)       5025    2777(0.000%)
12411           5110       1569205554  5104     6(0.000%)        5098     18(0.000%)       5095     27(0.000%)       5092     39(0.000%)       5023    2777(0.000%)
12500           1124       2151003363  1122     2(0.000%)        1121     4(0.000%)        1121     4(0.000%)        1121     4(0.000%)        1115    147(0.000%)
12501           1122       1749699604  1120     2(0.000%)        1119     4(0.000%)        1119     4(0.000%)        1119     4(0.000%)        1113    147(0.000%)
12510           1641       2239758984  1640     1(0.000%)        1639     3(0.000%)        1638     6(0.000%)        1637     10(0.000%)       1570    2817(0.000%)
12511           1122       1838463449  1120     2(0.000%)        1119     4(0.000%)        1119     4(0.000%)        1119     4(0.000%)        1113    147(0.000%)

